"word","count"
"eeeeeedefe","1"
"eeeeeeeeff","27"
"eeeeedefff","8"
"eeeeedefef","1"
"eeeeeeefff","13"
"eeeedeffff","5"
"eeeedefffg","3"
"eeeedefefg","1"
"eeeeeefffg","1"
"eeedeffffg","1"
"eeedeffffh","4"
"eeedefffgg","3"
"eeedefefgg","1"
"eeeeefffgg","1"
"eedeffffgg","1"
"eedeffffhg","2"
"eedeffffhf","2"
"eedefffggf","1"
"eedefefggf","1"
"eedefffgge","2"
"eeeefffgge","1"
"edeffffgge","1"
"edeffffhge","2"
"edeffffhfe","1"
"edeffffhfd","1"
"edefffggfe","1"
"edefefggfe","1"
"edefffgged","2"
"eeefffgged","1"
"deffffggee","1"
"deffffhgee","2"
"deffffhfee","1"
"deffffhfde","1"
"defffggfee","1"
"defefggfee","1"
"defffggede","2"
"eefffggede","1"
"effffggeee","1"
"effffhgeee","2"
"effffhfeee","1"
"effffhfdee","1"
"efffggfeee","1"
"efefggfeee","1"
"efffggedee","3"
"ffffggeeee","1"
"ffffhgeeee","2"
"ffffhfeeee","1"
"ffffhfdeee","1"
"fffggfeeee","1"
"fefggfeeee","1"
"fffggedeee","1"
"fffggedeef","2"
"fffggeeeef","1"
"fffhgeeeef","2"
"fffhfeeeef","1"
"fffhfdeeef","1"
"ffggfeeeef","1"
"efggfeeeef","1"
"ffggedeeee","1"
"ffggedeefe","2"
"ffggeeeefe","1"
"ffhgeeeefe","2"
"ffhfeeeefe","1"
"ffhfdeeefe","1"
"fggfeeeefe","2"
"fggedeeeee","1"
"fggedeefee","2"
"fggeeeefee","1"
"fhgeeeefee","2"
"fhfeeeefee","1"
"fhfdeeefee","1"
"ggfeeeefee","2"
"ggedeeeeed","1"
"ggedeefeed","1"
"eeeeefgffe","3"
"eeeeefgfee","2"
"eeeeffgfee","1"
"eeeefggfee","4"
"eeeefgffee","3"
"eeeefgfeed","2"
"eeeffgfeed","1"
"eeefggfeed","4"
"eeefgffeed","3"
"eeefgfeedd","2"
"eeffgfeedd","1"
"eefggfeede","4"
"eefgffeede","3"
"eefgfeedde","2"
"effgfeedde","1"
"efggfeedee","1"
"efggfeeded","3"
"efgffeeded","3"
"efgfeedded","2"
"ffgfeedded","1"
"fggfeedeed","1"
"fggfeededd","3"
"fgffeededd","3"
"fgfeeddede","3"
"ggfeedeede","1"
"ggfeededde","3"
"gffeededde","3"
"gfeeddedee","3"
"gfeedeeded","1"
"gfeededded","3"
"ffeededded","3"
"feeddedeed","3"
"feedeededd","1"
"feededdedd","7"
"eeddedeedd","2"
"eeddedeedc","2"
"eedeededdc","1"
"eededdeddc","6"
"eddedeeddc","1"
"eddedeedcc","2"
"edeededdcc","1"
"ededdeddcc","3"
"edddddeeed","3"
"eddedeeeec","1"
"eddeceeedc","3"
"edddceeedc","1"
"eddddeeedc","4"
"dddddeeedc","1"
"ddedeeeecc","1"
"ddeceeedcc","3"
"dddceeedcc","1"
"ddddeeedcc","5"
"dedeeeeccc","1"
"deceeedccc","2"
"deceeedccb","1"
"ddceeedccb","1"
"dddeeedccb","5"
"edeeeecccb","1"
"eceeedcccb","2"
"eceeedccbb","1"
"dceeedccbc","1"
"ddeeedccbc","5"
"deeeecccbc","1"
"ceeedcccbc","2"
"ceeedccbbc","1"
"ceeedccbcc","1"
"deeedccbcd","5"
"eeeecccbcd","1"
"eeedcccbcd","2"
"eeedccbbcd","1"
"eeedccbccd","1"
"eeedccbcdd","4"
"eeedccbcde","1"
"eeecccbcde","1"
"eedcccbcde","2"
"eedccbbcde","1"
"eedccbccde","1"
"eedccbcdde","4"
"eedccbcdee","1"
"eecccbcdee","1"
"edcccbcdee","1"
"edcccbcded","1"
"edccbbcded","1"
"edccbccded","1"
"edccbcdded","1"
"edccbcddee","3"
"edccbcdeee","1"
"ecccbcdeee","1"
"dcccbcdeee","1"
"dcccbcdede","1"
"dccbbcdede","1"
"dccbccdede","1"
"dccbcddede","1"
"dccbcddeef","3"
"dccbcdeeef","1"
"cccbcdeeef","1"
"cccbcdeeeg","1"
"cccbcdedeg","1"
"ccbbcdedeg","1"
"ccbccdedeg","1"
"ccbcddedeg","1"
"ccbcddeefg","3"
"ccbcdeeefg","1"
"ccbcdeeefh","1"
"ccbcdeeegh","1"
"ccbcdedegh","1"
"cbbcdedegh","1"
"cbccdedegh","1"
"cbcddedegh","1"
"cbcddeefgh","3"
"cbcdeeefgh","1"
"cbcdeeefhh","1"
"cbcdeeeghh","1"
"cbcdedeghh","1"
"bbcdedeghh","1"
"bccdedeghh","1"
"bcddedeghh","1"
"bcddeefghg","3"
"bcdeeefghg","1"
"bcdeeefhhg","1"
"bcdeeeghhg","1"
"bcdedeghhg","2"
"ccdedeghhg","1"
"cddedeghhg","1"
"cddeefghgg","3"
"cdeeefghgg","1"
"cdeeefhhgg","1"
"cdeeeghhgg","1"
"cdedeghhgg","3"
"ddedeghhgg","1"
"ddeefghggg","3"
"deeefghggg","1"
"deeefhhggg","1"
"deeeghhggg","1"
"dedeghhggg","4"
"deefghgggf","3"
"eeefghgggf","1"
"eeefhhgggf","1"
"eeeghhgggf","1"
"edeghhgggf","4"
"eefghgggff","4"
"eefhhgggff","1"
"eeghhgggff","1"
"deghhgggff","4"
"efghgggfff","4"
"efhhgggfff","1"
"eghhgggfff","5"
"fghgggffff","1"
"fghgggfffg","3"
"aaaaaaaade","14"
"aaaaaaaadd","28"
"aaaaabaaed","6"
"aaabaaaaec","1"
"aaaaaaaaec","32"
"aaaaaaabeb","8"
"aaabaaabeb","1"
"aaaaaaadeb","2"
"aaaaaaaddb","24"
"aaaabaaedb","6"
"aabaaaaecb","1"
"aaaaaaaecb","19"
"aaaaaabebc","3"
"aabaaabebc","1"
"aaaaaadebb","2"
"aaaaaaddbb","1"
"aaabaaedbb","1"
"abaaaaecbb","1"
"aaaaaaecbc","1"
"aaaaabebcc","1"
"abaaabebcc","1"
"aaaaabebcd","2"
"aaaaadebbd","1"
"aaaaadebbe","1"
"aaaaaddbbe","1"
"aabaaedbbe","1"
"baaaaecbbe","1"
"aaaaaecbce","1"
"aaaabebcce","1"
"baaabebcce","1"
"aaaabebcde","2"
"aaaadebbde","1"
"aaaadebbee","1"
"aaaaddbbee","1"
"abaaedbbee","1"
"aaaaecbbef","1"
"aaaaecbcef","1"
"aaabebccef","1"
"aaabebcceg","1"
"aaabebcdeg","2"
"aaadebbdeg","1"
"aaadebbeeh","1"
"aaaddbbeeh","1"
"baaedbbeeh","1"
"aaaecbbefh","1"
"aaaecbcefh","1"
"aabebccefh","1"
"aabebccegh","1"
"aabebcdegh","2"
"aadebbdegh","1"
"aadebbeehh","1"
"aaddbbeehh","1"
"aaedbbeehh","1"
"aaecbbefhh","1"
"aaecbcefhh","1"
"abebccefhh","1"
"abebcceghh","1"
"abebcdeghh","2"
"adebbdeghh","1"
"adebbeehhg","1"
"addbbeehhg","1"
"aedbbeehhg","1"
"aecbbefhhg","1"
"aecbcefhhg","1"
"bebccefhhg","1"
"bebcceghhg","1"
"bebcdeghhg","2"
"debbdeghhg","1"
"debbeehhgf","1"
"ddbbeehhgf","1"
"edbbeehhgf","1"
"ecbbefhhgf","1"
"ecbcefhhgf","1"
"ebccefhhgf","1"
"ebcceghhgf","1"
"ebcdeghhgf","2"
"ebbdeghhgf","1"
"ebbeehhgff","1"
"dbbeehhgff","1"
"dbbeehhgfe","1"
"cbbefhhgfe","1"
"cbcefhhgfe","1"
"bccefhhgfe","1"
"bcceghhgfe","1"
"bcdeghhgfe","2"
"bbdeghhgfe","1"
"bbeehhgffe","2"
"bbeehhgfee","1"
"bbefhhgfee","1"
"bcefhhgfee","1"
"ccefhhgfee","1"
"cceghhgfee","1"
"cdeghhgfee","2"
"bdeghhgfed","1"
"beehhgffed","2"
"beehhgfeed","1"
"befhhgfeed","1"
"cefhhgfeed","2"
"ceghhgfeed","1"
"deghhgfeed","1"
"deghhgfeee","1"
"deghhgfede","1"
"eehhgffede","2"
"eehhgfeede","1"
"efhhgfeede","3"
"eghhgfeede","2"
"eghhgfeeee","1"
"fgffgffeed","1"
"fgfggffeed","1"
"fgfggffeee","1"
"fgfgfffeee","1"
"fgfgffeede","1"
"fgfgffeeed","1"
"ggfgffeedd","4"
"gffgffeedd","1"
"gfggffeedd","1"
"gfggffeeed","1"
"gfgfffeeed","10"
"gfgffeeded","1"
"gfgffeeedd","1"
"gfgffeeddd","2"
"gfgffeeddc","2"
"ffgffeeddc","1"
"fggffeeddc","1"
"fggffeeedc","1"
"fgfffeeedc","1"
"fgffeededc","1"
"fgffeeeddc","1"
"fgffeedddc","2"
"fgffeeddcc","1"
"fgffeeddcb","2"
"ggffeeddcb","1"
"ggffeeedcb","1"
"gfffeeedcb","1"
"gffeededcb","1"
"gffeeeddcb","1"
"gffeedddcb","2"
"gffeeddccb","1"
"gffeeddcbb","3"
"gffeeedcbb","1"
"fffeeedcbb","1"
"ffeededcbc","1"
"ffeeeddcbc","1"
"ffeedddcbc","2"
"ffeeddccbc","1"
"ffeeddcbbc","3"
"ffeeedcbbc","2"
"feededcbcc","1"
"feeeddcbcc","1"
"feedddcbcc","2"
"feeddccbcc","1"
"feeddcbbcc","3"
"feeedcbbcc","2"
"eededcbccc","1"
"eeeddcbccc","1"
"eedddcbccc","2"
"eeddccbccc","1"
"eeddcbbccc","3"
"eeedcbbccc","2"
"ededcbcccc","1"
"eeddcbcccc","1"
"edddcbcccc","2"
"eddccbcccc","1"
"eddcbbcccc","3"
"eedcbbcccc","2"
"dedcbccccc","1"
"eddcbccccc","1"
"dddcbccccc","2"
"ddccbccccc","1"
"ddcbbccccc","3"
"edcbbccccc","2"
"edcbcccccc","1"
"ddcbcccccc","3"
"cccdeeeedg","1"
"cccdfeeedg","2"
"cccdfeeeeh","1"
"ccddfeeeeh","1"
"ccddfeefeh","1"
"ccdeffefeg","1"
"ccdefeefeg","2"
"ccdefeedgg","1"
"ccdeeeedgg","1"
"ccdfeeedgg","1"
"ccdfeeedgf","1"
"ccdfeeeehe","1"
"cddfeeeehe","1"
"cddfeefehf","1"
"cdeffefege","1"
"cdefeefege","1"
"cdefeefegf","1"
"cdefeedggf","1"
"cdeeeedggf","1"
"cdfeeedgge","1"
"cdfeeedgfe","1"
"cdfeeeehed","1"
"ddfeeeehec","1"
"ddfeefehfc","1"
"deffefegeb","1"
"defeefegeb","1"
"defeefegfb","1"
"defeedggfb","1"
"deeeedggfb","1"
"dfeeedggec","1"
"dfeeedgfec","1"
"dfeeeehedd","1"
"dfeeeehece","1"
"dfeefehfcf","1"
"effefegebg","1"
"efeefegebg","1"
"efeefegfbg","1"
"efeedggfbg","1"
"eeeedggfbf","1"
"feeedggecf","1"
"feeedgfecf","1"
"feeeeheddf","1"
"feeeehecef","1"
"feefehfcff","1"
"ffefegebgf","1"
"feefegebgg","1"
"feefegfbgg","1"
"feedggfbgg","1"
"eeedggfbfg","1"
"eeedggecfh","1"
"eeedgfecfh","1"
"eeeeheddfh","1"
"eeeehecefh","1"
"eefehfcffi","1"
"fefegebgfi","1"
"eefegebggi","1"
"eefegfbggh","1"
"eedggfbggh","1"
"eedggfbfgg","1"
"eedggecfhg","1"
"eedgfecfhg","1"
"eeeheddfhg","1"
"eeehecefhh","1"
"efehfcffih","1"
"efegebgfih","1"
"efegebggii","1"
"efegfbgghi","1"
"edggfbgghi","1"
"edggfbfggj","1"
"edggecfhgj","1"
"edgfecfhgj","1"
"eeheddfhgj","1"
"eehecefhhj","1"
"fehfcffihi","1"
"fegebgfihi","1"
"fegebggiii","1"
"fegfbgghii","1"
"dggfbgghij","1"
"dggfbfggjj","1"
"dggecfhgjk","1"
"dgfecfhgjk","1"
"eheddfhgjl","1"
"ehecefhhjl","1"
"ehfcffihim","1"
"egebgfihim","1"
"egebggiiin","1"
"egfbgghiin","1"
"ggfbgghijn","1"
"ggfbfggjjo","1"
"ggecfhgjko","1"
"gfecfhgjko","1"
"heddfhgjlo","1"
"hecefhhjlo","1"
"hfcffihimp","1"
"gebgfihimp","1"
"gebggiiinp","1"
"gfbgghiinp","1"
"gfbgghijnp","1"
"gfbfggjjop","1"
"gecfhgjkop","1"
"fecfhgjkop","1"
"eddfhgjlop","1"
"ecefhhjloq","1"
"fcffihimpq","1"
"ebgfihimpq","1"
"ebggiiinpq","1"
"fbgghiinpq","1"
"fbgghijnpq","1"
"fbfggjjopp","1"
"ecfhgjkopo","1"
"ecfhgjkopm","1"
"ddfhgjlopk","1"
"cefhhjloqj","1"
"cffihimpqj","1"
"bgfihimpqi","1"
"bggiiinpqh","1"
"bgghiinpqf","1"
"bgghijnpqe","1"
"bfggjjoppd","1"
"cfhgjkopod","1"
"cfhgjkopmd","1"
"dfhgjlopkd","1"
"efhhjloqjc","1"
"ffihimpqjc","1"
"gfihimpqib","1"
"ggiiinpqhb","1"
"gghiinpqfa","1"
"gghijnpqea","1"
"fggjjoppda","1"
"fhgjkopodb","1"
"fhgjkopmdb","1"
"fhgjlopkdc","1"
"fhhjloqjcc","1"
"fihimpqjcd","1"
"fihimpqibe","1"
"giiinpqhbf","1"
"ghiinpqfag","1"
"ghijnpqeah","1"
"ggjjoppdag","1"
"hgjkopodbg","1"
"hgjkopmdbg","1"
"hgjlopkdcf","1"
"hhjloqjccf","1"
"ihimpqjcdg","1"
"ihimpqibeg","1"
"iiinpqhbfg","1"
"hiinpqfagg","1"
"hijnpqeahh","1"
"gjjoppdagh","1"
"gjkopodbgh","1"
"gjkopmdbgi","1"
"gjlopkdcfi","1"
"hjloqjccfi","1"
"himpqjcdgi","1"
"himpqibegi","1"
"iinpqhbfgi","1"
"iinpqfaggi","1"
"ijnpqeahhi","1"
"jjoppdaghi","1"
"jkopodbghi","1"
"jkopmdbgii","1"
"jlopkdcfij","1"
"jloqjccfij","1"
"impqjcdgij","1"
"impqibegij","1"
"inpqhbfgij","1"
"inpqfaggik","1"
"jnpqeahhik","1"
"joppdaghik","1"
"kopodbghij","1"
"kopmdbgiij","1"
"lopkdcfijj","1"
"loqjccfijj","1"
"mpqjcdgijj","1"
"mpqibegijj","1"
"npqhbfgijk","1"
"npqfaggikk","1"
"npqeahhikk","1"
"oppdaghikk","1"
"opodbghijk","1"
"opmdbgiijk","1"
"opkdcfijjk","1"
"oqjccfijjl","1"
"pqjcdgijjk","1"
"pqibegijjk","1"
"pqhbfgijkk","1"
"pqfaggikkk","1"
"pqeahhikkk","1"
"ppdaghikkk","1"
"podbghijkl","1"
"pmdbgiijkl","1"
"pkdcfijjkl","1"
"qjccfijjll","1"
"qjcdgijjkl","1"
"qibegijjkl","1"
"qhbfgijkkl","1"
"qfaggikkkl","1"
"qeahhikkkl","1"
"pdaghikkkl","1"
"odbghijkll","1"
"mdbgiijkll","1"
"kdcfijjkll","1"
"jccfijjlll","1"
"jcdgijjkll","1"
"ibegijjkll","1"
"hbfgijkkll","1"
"faggikkkll","1"
"llmnnmlkjj","2"
"llnnnmlkij","1"
"llnnmmlkij","1"
"lmnnmmlkij","1"
"lmnnmmljij","1"
"lmnnmmkjij","2"
"lmnnmmkjii","2"
"lmnnmlkjjh","2"
"lnnnmlkijh","1"
"lnnmmlkijh","1"
"mnnmmlkijh","1"
"mnnmmljijh","1"
"mnnmmkjiji","1"
"mnnmmkjijj","1"
"mnnmmkjiij","1"
"mnnmmkjiik","1"
"mnnmlkjjhl","2"
"nnnmlkijhm","1"
"nnmmlkijhn","2"
"nnmmljijhn","1"
"nnmmkjijin","1"
"nnmmkjijjn","1"
"nnmmkjiijn","1"
"nnmmkjiikn","1"
"nnmlkjjhln","2"
"nnmlkijhmn","1"
"nmmlkijhnn","2"
"nmmljijhnn","1"
"nmmkjijinn","1"
"nmmkjijjnn","1"
"nmmkjiijnn","1"
"nmmkjiiknn","1"
"nmlkjjhlnn","2"
"nmlkijhmnn","1"
"mmlkijhnnn","2"
"mmljijhnnn","1"
"mmkjijinnn","1"
"mmkjijjnnn","1"
"mmkjiijnnn","1"
"mmkjiiknnn","1"
"mlkjjhlnnn","2"
"mlkijhmnnn","1"
"mlkijhnnnn","2"
"mljijhnnnn","1"
"mkjijinnnn","1"
"mkjijjnnnn","1"
"mkjiijnnnn","1"
"mkjiiknnnn","1"
"lkjjhlnnnn","2"
"lkijhmnnno","1"
"lkijhnnnno","2"
"ljijhnnnno","1"
"kjijinnnnp","1"
"kjijjnnnnp","1"
"kjiijnnnnp","1"
"kjiiknnnnp","1"
"kjjhlnnnnp","2"
"kijhmnnnop","1"
"kijhnnnnop","2"
"jijhnnnnoo","1"
"jijinnnnpo","1"
"jijjnnnnpo","1"
"jiijnnnnpo","1"
"jiiknnnnpo","1"
"jjhlnnnnpo","2"
"ijhmnnnopo","1"
"ijhnnnnopo","1"
"ijhnnnnopn","1"
"ijhnnnnoon","1"
"ijinnnnpon","1"
"ijjnnnnpon","1"
"iijnnnnpon","1"
"iiknnnnpom","1"
"jhlnnnnpom","2"
"jhmnnnopom","1"
"jhnnnnopom","1"
"jhnnnnopnl","1"
"jhnnnnoonl","1"
"jinnnnponl","1"
"jjnnnnponl","1"
"ijnnnnponl","1"
"iknnnnpoml","1"
"hlnnnnpoml","2"
"hmnnnopoml","1"
"hnnnnopoml","1"
"hnnnnopnll","1"
"hnnnnoonll","1"
"innnnponll","1"
"jnnnnponlk","2"
"knnnnpomlk","1"
"lnnnnpomlk","2"
"mnnnopomlk","1"
"nnnnopomlk","1"
"nnnnopnllk","1"
"nnnnoonllk","1"
"nnnnponllk","1"
"nnnnponlkk","2"
"nnnnpomlkk","3"
"nnnopomlkk","2"
"nnnopnllkk","1"
"nnnoonllkk","1"
"nnnponllkk","1"
"nnnponlkkk","2"
"nnnpomlkkk","3"
"nnopomlkkk","2"
"nnopnllkkk","1"
"nnoonllkkk","1"
"nnponllkkk","1"
"nnponlkkkk","2"
"nnpomlkkkk","3"
"nopomlkkkk","2"
"nopnllkkkk","1"
"noonllkkkk","1"
"nponllkkkk","1"
"nponlkkkkk","2"
"npomlkkkkk","3"
"opomlkkkkk","2"
"opnllkkkkk","1"
"oonllkkkkk","1"
"ponllkkkkk","1"
"ponlkkkkkk","2"
"pomlkkkkkk","4"
"pomlkkkkkj","1"
"pnllkkkkkj","1"
"onllkkkkkj","2"
"onlkkkkkkj","2"
"omlkkkkkkj","4"
"omlkkkkkjj","3"
"nllkkkkkjk","2"
"nllkkkkkjj","1"
"nlkkkkkkjk","64"
"mlkkkkkkjk","2"
"mlkkkkkkjj","3"
"mlkkkkkjjj","1"
"llkkkkkjkk","2"
"llkkkkkjjk","53"
"lkkkkkkjkk","101"
"lkkkkkkjjk","88"
"lkkkkkjjjk","34"
"lkkkkkjkkk","33"
"lkkkkkjjkk","62"
"kkkkkkjkkk","2985"
"kkkkkkjjkk","969"
"kkkkkjjjkk","1701"
"kkkkkjkkkk","2930"
"kkkkkjjkkk","1171"
"kkkkjjjkkk","1718"
"kkkkjkkkkk","2708"
"kkkkjjkkkk","1171"
"kkkkjkkkkl","32"
"kkkkjjkkkl","38"
"kkkjjjkkkl","15"
"kkkjkkkkkl","90"
"kkkjjkkkkl","27"
"kkkjkkkkll","2"
"kkkjjkkkll","23"
"kkjjjkkkll","8"
"kkjkkkkklk","59"
"kkjjkkkklk","11"
"kkjkkkkllk","2"
"kkjjkkkllk","1"
"kkjjkkklll","23"
"kjjjkkklll","8"
"kjkkkkklkm","1"
"kjjkkkklkm","1"
"kjkkkkklkn","2"
"kjkkkkllko","2"
"kjjkkkllko","1"
"kjjkkklllo","1"
"kjjkkklllp","1"
"jjjkkklllp","1"
"jkkkkklkmp","1"
"jjkkkklkmp","1"
"jkkkkklknp","2"
"jkkkkllkop","2"
"jjkkkllkoo","1"
"jjkkkllloo","1"
"jjkkklllpo","2"
"kkkkklkmpo","1"
"jkkkklkmpo","1"
"kkkkklknpo","2"
"kkkkllkopo","2"
"jkkkllkooo","1"
"jkkklllooo","1"
"jkkklllpoo","2"
"kkkklkmpoo","2"
"kkkklknpoo","2"
"kkkllkopoo","2"
"kkkllkoooo","1"
"kkkllloooo","1"
"kkklllpooo","2"
"kkklkmpooo","2"
"kkklknpoon","2"
"kkllkopoon","2"
"kkllkoooon","1"
"kkllloooom","1"
"kklllpooom","2"
"kklkmpooom","2"
"kklknpoonm","2"
"kllkopoonm","2"
"kllkoooonm","1"
"kllloooomm","1"
"klllpooomm","2"
"klkmpooomm","2"
"klknpoonmm","2"
"llkopoonmm","2"
"llkoooonmm","1"
"llloooommm","1"
"lllpooommm","2"
"lkmpooommm","2"
"lknpoonmmm","2"
"lkopoonmml","2"
"lkoooonmml","1"
"lloooommml","1"
"llpooommml","2"
"kmpooommml","2"
"knpoonmmml","1"
"knpoonmmmk","1"
"kopoonmmlk","2"
"koooonmmll","1"
"loooommmll","1"
"lpooommmlm","2"
"mpooommmln","2"
"npoonmmmlo","1"
"npoonmmmko","1"
"opoonmmlkp","2"
"oooonmmllp","1"
"oooommmllp","1"
"pooommmlmp","2"
"pooommmlnp","2"
"poonmmmlop","1"
"poonmmmkop","1"
"poonmmlkpp","2"
"ooonmmllpp","1"
"ooommmllpp","1"
"ooommmlmpp","2"
"ooommmlnpp","2"
"oonmmmlopp","1"
"oonmmmkopp","1"
"oonmmlkppp","2"
"oonmmllppp","1"
"oommmllppp","1"
"oommmlmppp","2"
"oommmlnppp","2"
"onmmmloppp","1"
"onmmmkoppp","1"
"onmmlkpppp","2"
"onmmllpppp","1"
"ommmllpppp","1"
"ommmlmpppp","1"
"ommmlmpppq","1"
"ommmlnpppp","2"
"nmmmlopppp","1"
"nmmmkopppp","1"
"nmmlkppppp","1"
"nmmlkppppo","1"
"nmmllppppo","1"
"mmmllppppn","1"
"mmmlmppppn","1"
"mmmlmpppqm","1"
"mmmlnppppm","2"
"mmmloppppl","1"
"mmmkoppppl","1"
"mmlkpppppl","1"
"mmlkppppol","1"
"mmllppppol","1"
"mmllppppnk","1"
"mmlmppppnl","1"
"mmlmpppqml","1"
"mmlnppppml","2"
"mmloppppll","1"
"mmkopppplm","1"
"mlkppppplm","1"
"mlkppppolm","1"
"mllppppolm","1"
"mllppppnkn","1"
"mlmppppnln","1"
"mlmpppqmln","1"
"mlnppppmln","2"
"mlopppplln","1"
"mkopppplmn","1"
"lkppppplmn","1"
"lkppppolmm","1"
"llppppolmm","1"
"llppppnknm","1"
"lmppppnlnm","1"
"lmpppqmlnl","1"
"lnppppmlnl","1"
"lnppppmlnk","1"
"loppppllnk","1"
"kopppplmnk","1"
"kppppplmnk","1"
"kppppolmmj","1"
"lppppolmmj","1"
"lppppnknmj","1"
"mppppnlnmj","1"
"mpppqmlnlj","1"
"nppppmlnlj","1"
"nppppmlnkk","1"
"oppppllnkk","1"
"opppplmnkk","1"
"ppppplmnkk","1"
"ppppolmmjk","2"
"ppppnknmjk","1"
"ppppnlnmjk","1"
"pppqmlnljk","1"
"ppppmlnljk","1"
"ppppmlnkkk","1"
"ppppllnkkk","1"
"pppplmnkkk","1"
"pppplmnkkj","1"
"pppolmmjkj","2"
"pppnknmjkj","1"
"pppnlnmjkj","1"
"ppqmlnljkj","1"
"pppmlnljkj","1"
"pppmlnkkkj","1"
"pppllnkkkj","1"
"ppplmnkkkj","1"
"ppplmnkkjj","1"
"ppolmmjkjj","2"
"ppnknmjkjj","1"
"ppnlnmjkjj","1"
"pqmlnljkjk","1"
"ppmlnljkjk","1"
"ppmlnkkkjk","1"
"ppllnkkkjk","1"
"pplmnkkkjk","1"
"pplmnkkjjk","1"
"polmmjkjjl","2"
"pnknmjkjjl","1"
"pnlnmjkjjm","1"
"qmlnljkjkm","1"
"pmlnljkjkm","1"
"pmlnkkkjkm","1"
"pllnkkkjkm","1"
"plmnkkkjkm","1"
"plmnkkjjkm","1"
"olmmjkjjlm","2"
"nknmjkjjlm","1"
"nlnmjkjjmm","1"
"mlnljkjkmm","2"
"mlnkkkjkmm","1"
"llnkkkjkmm","1"
"lmnkkkjkml","1"
"lmnkkjjkml","1"
"lmmjkjjlml","2"
"knmjkjjlml","1"
"lnmjkjjmml","1"
"lnljkjkmml","2"
"lnkkkjkmml","2"
"mnkkkjkmll","1"
"mnkkjjkmll","1"
"mmjkjjlmll","2"
"nmjkjjlmll","1"
"nmjkjjmmll","1"
"nljkjkmmll","2"
"nkkkjkmmll","2"
"nkkkjkmlll","1"
"nkkjjkmlll","1"
"mjkjjlmlll","3"
"mjkjjmmlll","1"
"ljkjkmmlll","2"
"kkkjkmmlll","1"
"mllkkkkkkj","2"
"mlkkkkkkkj","4"
"llkkkkkkkj","40"
"llkkkkkkjj","12"
"lkkkkkkkjj","83"
"lkkkkkkkjk","18"
"lkkkkkkjjj","112"
"kkkkkkkjjj","4172"
"kkkkkkkjki","4"
"kkkkkkkjkh","2"
"kkkkkkjjjh","37"
"kkkkkkjkih","1"
"kkkkkkjkig","3"
"kkkkkkjkhg","2"
"kkkkkjjjhg","4"
"kkkkkjkihg","1"
"kkkkkjkigg","3"
"kkkkkjkhgg","2"
"kkkkjjjhgg","4"
"kkkkjkihgg","1"
"kkkkjkiggg","2"
"kkkkjkiggf","1"
"kkkkjkhggf","2"
"kkkjjjhggf","4"
"kkkjkihggf","1"
"kkkjkigggf","1"
"kkkjkigggg","1"
"kkkjkiggfg","1"
"kkkjkhggfg","2"
"kkjjjhggfg","4"
"kkjkihggfg","1"
"kkjkigggfg","1"
"kkjkiggggg","1"
"kkjkiggfgg","1"
"kkjkhggfgg","2"
"kjjjhggfgg","1"
"kjjjhggfgh","3"
"kjkihggfgh","1"
"kjkigggfgi","1"
"kjkigggggi","1"
"kjkiggfggi","1"
